reqId,requirementId,phase,order,pragyanIncomp,nlDescription,nlText,gold_scope,gold_condition,gold_actor,gold_modalVerb,gold_action,gold_conditionType,gold_overallIncomplete,gold_hadDisagreement,canonicalRimay,annotatorId,annotatorUsername,annotatorDisplayName,annotationStatus,rimayText,slot_scope,slot_condition,slot_actor,slot_modalVerb,slot_action,conditionType,patternNumber,nonAtomic,nSystemResponses,overallIncomplete,notes
312-Signal,6a3ac953be1bfa9e45d33109,training,1,0,"Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.","Request Number - 312 | Request Title - Need Batch Selection Mode for individual messages inside a conversation | Request Description - Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.",implied,missing,implied,implied,present,none,false,true,"For all users, the app must provide a ""Batch Selection mode"" for messages within each conversation to allow users to delete multiple messages.",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,"The APP must provide 'batch selection mode' for messages within each conversation
",implied,implied,implied,implied,present,trigger,,false,,false,"Action is present and everything else is implied. Scope is all conversations and condition is user triggering the option. Actor is the user or the APP (debatable). This also could be: ""User must be able to delete messages with batch seleciton in a conversation"". This would exactly be the same for me. "
312-Signal,6a3ac953be1bfa9e45d33109,training,1,0,"Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.","Request Number - 312 | Request Title - Need Batch Selection Mode for individual messages inside a conversation | Request Description - Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.",implied,missing,implied,implied,present,none,false,true,"For all users, the app must provide a ""Batch Selection mode"" for messages within each conversation to allow users to delete multiple messages.",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE> When the user holds down on a ""message"" in the ""conversation"", the App must initiate ""Batch Selection Mode"" for ""individual messages"".",missing,implied,implied,implied,present,trigger,,false,,false,
312-Signal,6a3ac953be1bfa9e45d33109,training,1,0,"Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.","Request Number - 312 | Request Title - Need Batch Selection Mode for individual messages inside a conversation | Request Description - Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.",implied,missing,implied,implied,present,none,false,true,"For all users, the app must provide a ""Batch Selection mode"" for messages within each conversation to allow users to delete multiple messages.",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"<MISSING_SCOPE> <MISSING_CONDITION> The system must provide a ""Batch Selection Mode"" within conversation to allow users to delete multiple messages.",missing,missing,implied,implied,present,none,5,false,,false,"Here it's a bit questionable whether scope is implied or missing, because you can also argue that the system must provide the functionality ""For all individuals""."
312-Signal,6a3ac953be1bfa9e45d33109,training,1,0,"Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.","Request Number - 312 | Request Title - Need Batch Selection Mode for individual messages inside a conversation | Request Description - Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.",implied,missing,implied,implied,present,none,false,true,"For all users, the app must provide a ""Batch Selection mode"" for messages within each conversation to allow users to delete multiple messages.",6a29b95073ef37cc79137842,Mko,Mko,draft,"When the user long-presses a ""message"", then the App must enable a ""Batch Selection Mode"" for selecting multiple messages",missing,implied,implied,implied,present,trigger,7,false,,false,
604-Signal,6a3ac954be1bfa9e45d33154,training,26,0,"The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.","Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",implied,present,present,implied,implied,trigger,false,true,"For all users, when an incoming text message with the ""verificaiton code"" is received during number registration, then TextSecure must catch the ""verification code""",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE>When the ""incoming text message"" with ""verification code"" is received by the ""default Android SMS app"", then the ""TextSecure"" must catch the ""incoming text message"".",missing,present,present,implied,present,trigger,,false,,false,
604-Signal,6a3ac954be1bfa9e45d33154,training,26,0,"The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.","Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",implied,present,present,implied,implied,trigger,false,true,"For all users, when an incoming text message with the ""verificaiton code"" is received during number registration, then TextSecure must catch the ""verification code""",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,TextSecure must catch the verification code from incoming text message.,implied,missing,present,implied,implied,none,,false,,false,"Complicated one. It says TextSecure doesn't catch it so we can imply that the task is to make the TextSecure 'catch' it. Maybe having more context on what app this is about would help to clarify it. But this is why I think the ACTION exists but it is implied of what it wants us to do, rather being explicit about it. "
604-Signal,6a3ac954be1bfa9e45d33154,training,26,0,"The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.","Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",implied,present,present,implied,implied,trigger,false,true,"For all users, when an incoming text message with the ""verificaiton code"" is received during number registration, then TextSecure must catch the ""verification code""",6a29b95073ef37cc79137840,Rafo,Rafo,submitted,"If the default Android SMS app receives a ""verification code"" forwarded from a ""Google Voice number"" <MISSING_SCOPE>, TextSecure must catch the ""verification code"". ",missing,present,present,implied,present,none,,false,,false,"There is a complaint from the user that Text Secure does not catch the verification code received by the Android SMS app, thus we imply that the action is expected to fix the issue. "
604-Signal,6a3ac954be1bfa9e45d33154,training,26,0,"The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.","Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",implied,present,present,implied,implied,trigger,false,true,"For all users, when an incoming text message with the ""verificaiton code"" is received during number registration, then TextSecure must catch the ""verification code""",6a29b95073ef37cc79137842,Mko,Mko,draft,"When an incoming text message with the ""verification code"" is received during number registration, then TextSecure must catch the ""verification code message""",missing,present,present,implied,implied,trigger,,false,,false,"Trigger condition:
""An incoming text message with the verification code is received""
Actor:
TextSecure
"
5963-Signal,6a3ac957be1bfa9e45d33208,training,86,1,"Add an option to allow completely blocking messages from contacts not in my contact list. This is very useful for children, to disable the possibility of them being approached by strangers.","Request Number - 5963 | Request Title - Block numbers outside my contact list | Request Description - Add an option to allow completely blocking messages from contacts not in my contact list. This is very useful for children, to disable the possibility of them being approached by strangers.",implied,missing,implied,implied,present,none,false,true,"For all users, the app must provide an option to block messages from contacts not in the contact list. ",6a29b95073ef37cc79137841,Arthur,Arthur,submitted,"<MISSING_SCOPE><MISSING_CONDITION> The App must provide an option to completely block ""message"" from ""contacts"" not from ""contacts list"".",missing,missing,implied,implied,present,none,,false,,false,
5963-Signal,6a3ac957be1bfa9e45d33208,training,86,1,"Add an option to allow completely blocking messages from contacts not in my contact list. This is very useful for children, to disable the possibility of them being approached by strangers.","Request Number - 5963 | Request Title - Block numbers outside my contact list | Request Description - Add an option to allow completely blocking messages from contacts not in my contact list. This is very useful for children, to disable the possibility of them being approached by strangers.",implied,missing,implied,implied,present,none,false,true,"For all users, the app must provide an option to block messages from contacts not in the contact list. ",6a1e11f9d2573aff6b6c4b96,admin,Admin User,submitted,The APP must allow to compltely block messages from unregistered contacts.,present,present,implied,implied,present,trigger,,false,,false,"Pretty straightforward but again, not clear whether the ACTOR is the user or the APP. Action is clear 'block messages', condition and scope are also present and clear. "
